3_ag_7,4
3_gender_male,5
3_ag_9,7
3_gender_female,12
3_ag_10,36
3_ag_8,38
3_ag_4,59
3_ag_6,128
3_ag_0,145
3_ag_11,150
3_ag_13,167
3_ag_5,439
3_ag_12,726
3_ag_14,1053
3_ag_15,8259
3_ag_3,10356
3_ag_2,46697
3_m_HarperCollins Publishers Ltd,74103
3_c_2419-Professionals & Academics,74104
3_c_2420-Business,74105
3_c_2553-Strategy & Competition,74106
3_c_2624-Industries & Professions,74107
3_c_2675-Management & Leadership,74108
3_c_2694-Systems & Planning,74109
3_c_3-Business & Money,74110
3_c_355577011-Popular Economics,74111
3_c_3568-Biographies,74112
3_c_549726-Business & Management,74113
3_c_886498-Computers & Technology,74114
3_m_Collins,74116
3_c_1000-Subjects,74117
3_c_2650-Real Estate,74118
3_c_2651-Buying & Selling Homes,74119
3_c_48-Crafts, Hobbies & Home,74120
3_m_Fourth Estate,74122
3_c_107197011-Information Theory,74123
3_c_11232-Social Sciences,74124
3_c_13803-Reference,74125
3_c_13871-History & Philosophy,74126
3_c_14631-Technology,74127
3_c_21-Education & Reference,74128
3_c_3508-Computer Science,74129
3_c_3573-History,74130
3_c_3639-Culture,74131
3_c_69845-Library & Information Science,74132
3_c_75-Science & Math,74133
3_c_7976021011-History,74134
3_m_HarperCollins Business,74136
3_c_11288-Sociology,74137
3_c_2571-Workplace,74138
3_c_3377866011-Politics & Social Sciences,74139
3_c_355561011-Organizational Behavior,74140
3_m_Longman,74142
3_c_12015-Writing,74143
3_c_17-Literature & Fiction,74144
3_c_170945-Technical,74145
3_c_2560-Communications,74146
3_c_2732-Reference,74147
3_c_355562011-Skills,74148
3_c_660626-Business Writing,74149
3_m_Collier Books,74151
3_c_2-Biographies & Memoirs,74152
3_c_4935-Europe,74153
3_c_4945-Czech Republic,74154
3_c_5011-Military,74155
3_c_5035-World,74156
3_c_9-History,74157
3_m_Macmillan Coll Div,74159
3_c_280291-Human Vision & Language Systems,74160
3_c_280293-Computer Mathematics,74161
3_c_3887-Artificial Intelligence,74162
3_c_3890-Expert Systems,74163
3_c_4053-Software,74164
3_c_468204-Computer Science,74165
3_c_491300-Artificial Intelligence,74166
3_c_5-Computers & Technology,74167
3_m_Prentice Hall,74169
3_c_2637-Human Resources & Personnel Management,74170
3_c_2683-Management,74171
3_c_2684-Management Science,74172
3_c_468220-Business & Finance,74173
3_c_491602-Human Resources,74174
3_c_684248011-Management,74175
3_m_Macmillan Publishing,74177
3_c_13687-Robotics & Automation,74178
3_c_227550-Industrial, Manufacturing & Operational Systems,74179
3_c_2349030011-Specialty Boutique,74180
3_c_3897-Robotics,74181
3_c_465600-New, Used & Rental Textbooks,74182
3_m_Macmillan Pub Co,74184
3_c_2717-Personal Finance,74185
3_c_2719-Budgeting & Money Management,74186
3_m_Career Education,74188
3_c_10-Health, Fitness & Dieting,74189
3_c_227560-Administration & Medicine Economics,74190
3_c_227567-Medical History & Records,74191
3_c_227670-Reference,74192
3_c_3559289011-Education & Training,74193
3_c_3700-Manager's Guides to Computing,74194
3_c_689670011-Administration & Policy,74195
3_c_689674011-Medicine,74196
3_c_689681011-Medical History & Records,74197
3_c_689782011-Education & Training,74198
3_m_Glencoe/McGraw-Hill,74200
3_c_11970-Words, Language & Grammar,74201
3_c_11975-Communication,74202
3_c_1267878011-Products,74203
3_c_1294449011-Books,74204
3_c_4-Children's Books,74205
3_c_468226-Communication & Journalism,74206
3_c_5267708011-Schools & Teaching,74207
3_c_684251011-Communications,74208
3_m_Arco,74210
3_c_11657-Professional,74211
3_c_11695-Professional,74212
3_c_15959731-Instruction Methods,74213
3_c_2655-Sales,74214
3_c_266137-Pedagogy,74215
3_c_468224-Education,74216
3_c_684249011-Real Estate,74217
3_c_684300011-Test Prep & Study Guides,74218
3_m_*Howell Book House,74220
3_c_2720-Credit Ratings & Repair,74221
3_m_Macmillan General Reference,74223
3_m_Wiley,74225
3_c_2731-Retirement Planning,74226
3_c_11475-Dictionaries & Thesauruses,74228
3_c_172810-Bible Study & Reference,74229
3_c_22-Religion & Spirituality,74230
3_c_720864-Bible Study,74231
3_m_Alpha,74233
3_c_10580-Social Services & Welfare,74234
3_c_5339-How-to & Home Improvements,74235
3_c_5571275011-Public Affairs & Policy,74236
3_c_6158312011-Home Improvement & Design,74237
3_m_Macmillan Distribution,74239
3_c_2741-Small Business & Entrepreneurship,74240
3_c_2745-Entrepreneurship,74241
3_c_2748-Home Based,74242
3_c_2665-Investing,74244
3_c_5373-Home Repair,74246
3_m_Alpha Books,74248
3_c_2604-Finance,74249
3_c_4736-Self-Help,74250
3_c_266117-Accounting,74252
3_c_2572-Job Hunting & Careers,74254
3_c_2575-Guides,74255
3_c_491564-Accounting,74256
3_c_11880-Genealogy,74258
3_c_20-Parenting & Relationships,74259
3_c_3510-Web Development & Design,74260
3_c_377886011-Web Services,74261
3_c_5126-Crafts & Hobbies,74262
3_c_69766-Internet & Web Culture,74263
3_c_2682-Leadership,74265
3_c_2695-Teams,74266
3_c_15376991-eBay,74269
3_c_2656-Retailing,74270
3_c_3563-Web Marketing,74271
3_c_3649-Internet Games,74272
3_c_541256-E-commerce,74273
3_c_87-Games & Strategy Guides,74274
3_c_2653-Investments,74277
3_m_ALPHA,74279
3_c_355563011-College & Education Costs,74281
3_c_491584-Economics,74282
3_c_491594-Finance,74283
3_c_684283011-Reference,74284
3_c_69820-College & University,74285
3_c_69826-Financial Aid,74286
3_c_282840-Aging,74288
3_c_2648-Information Management,74290
3_c_280309-Software Engineering,74291
3_c_280311-Information Systems,74292
3_c_3870-Algorithms,74293
3_c_3882-Memory Management,74294
3_c_2670-Introduction,74297
3_c_2688-Organizational Change,74299
3_c_684247011-Investments & Securities,74301
