3_zip_48067,1
3_occupation_10,2
3_age_1,3
3_gender_,4
3_zip_70072,6
3_occupation_16,7
3_age_56,8
3_zip_55117,10
3_occupation_15,11
3_age_25,12
3_zip_02460,14
3_occupation_7,15
3_age_45,16
3_zip_55455,18
3_occupation_20,19
3_occupation_9,21
3_age_50,22
3_zip_06810,24
3_occupation_1,25
3_age_35,26
3_zip_11413,28
3_occupation_12,29
3_zip_61614,31
3_occupation_17,32
3_zip_95370,34
3_zip_04093,36
3_zip_32793,38
3_zip_93304,40
3_zip_60126,42
3_occupation_0,43
3_zip_22903,45
3_zip_20670,47
3_zip_95350,49
3_zip_95825,51
3_occupation_3,52
3_age_18,53
3_zip_48073,55
3_zip_55113,57
3_occupation_14,58
3_zip_99353,60
3_zip_53706,62
3_zip_90049,64
3_zip_10023,66
3_zip_01609,68
3_occupation_4,69
3_zip_23112,71
3_zip_19130,73
3_occupation_11,74
3_zip_14607,76
3_zip_33407,78
3_zip_19143,80
3_zip_06840,82
3_zip_19355,84
3_zip_55421,86
3_zip_02135,88
3_zip_02482,90
3_zip_94123,92
3_zip_66212,94
3_zip_02215,96
3_zip_61820,98
3_zip_10543,100
3_zip_15116,102
3_zip_24502,104
3_occupation_8,105
3_zip_60614,107
3_zip_98052,109
3_zip_94110,111
3_zip_75602,113
3_occupation_19,114
3_zip_94305,116
3_zip_92107,118
3_zip_77084,120
3_zip_98133,122
3_occupation_2,123
3_zip_10562,125
3_zip_72212,127
3_zip_96931,129
3_zip_56723,131
3_zip_55303,133
3_zip_60440,135
3_zip_30350,137
3_zip_30303,139
3_zip_55413,141
3_zip_72118,143
3_zip_95122,145
3_zip_98105,147
3_zip_54902,149
3_zip_55803,152
3_zip_57706,154
3_occupation_18,155
3_zip_60181,157
3_occupation_5,158
3_zip_02143,161
3_zip_53703,163
3_zip_95008,165
3_zip_55122,167
3_zip_94530,170
3_zip_01748,172
3_zip_15321,175
3_zip_98029,177
3_zip_98103,179
3_zip_49327,181
